ugc_code,university_name,university_type,city_guess,state,region,website,contact,email
27,Central University of Rajasthan,,Bandar Sindri,Rajasthan,North,http://www.curaj.ac.in, +91-1463-238755   ,info@curaj.ac.in
28,Central University of Punjab,,Road Bathinda,Punjab,North,http://www.cup.ac.in   http://www.cpu.edu.in,0164-243 0586   0164-2864111    ,cu.punjab.info@gmail.com
29,Central University of Orissa,,-764020,,,http://www.cuo.ac.in,06852-288200   288210   06852-288225 ,info@cuo.ac.in
30,Dr. Harisingh Gour Vishwavidyalaya,,Sagar,Madhya Pradesh,Central,http://www.dhsgsu.ac.in,07582-264796   241215   265228   264156   07582-264163/264236/264236,
31,Central University of Kerala,,Kasaragod (DT),Kerala,South,http://www.cukerala.ac.in,91 (04994-257032   ,cukgod@gmail.com
32,Central University of Karnataka,,University Gulbarga,Karnataka,South,http://www.cuk.ac.in,08472-272057   08472-272066,cukgulbarga@gmail.com
33,Central University of Jharkhand,,Brambe Ranchi,Jharkhand,East,http://www.cuj.ac.in,06531-224163   06531-224163,pio@cuj.ac.in
34,Central University of Kashmir,,Hospital) Srinagar,Jammu and Kashmir,North,http://www.cukashmir.ac.in,0194-2468357  0194-2468346   0194-2468351  0194-2468354,mail@cukashmir.ac.in
35,Central University of Jammu,,Samba Jammu,Jammu and Kashmir,North,http://www.cujammu.ac.in,91-01923-249658   ,registrar@cujammu.ac.in
36,Central University of Himachal Pradesh,,#NAME?,Himachal Pradesh,North,http://www.cuhimachal.ac.in,-462263,vc.cuhimachal@gmail.com
37,Central University of Haryana,,Jant-Pali Mahendergarh,Haryana,North,http://www.cuh.ac.in,01285-249443   0124-2350283   2350284,registrar@cuh.ac.in
38,Guru Ghasidas Vishwavidyalaya,,Bilaspur Chhatisgarh,Chhattisgarh,Central,http://www.ggu.ac.in,07752-260283   260351   260209   260294   07752-260148/260154,centralggu@ggu.ac.in
39,Central University of South Bihar,,Chhajjubagh Patna,Bihar,East,http://www.cub.ac.in,0612-2227600  2784106  2226538   ,
40,Central University of Gujarat,,A Gandhinagar,Gujarat,West,http://www.cug.ac.in,079 29289056   079 23260076,info@cug.ac.in
41,Gandhi Institute of Technology and Management (GITAM),,Rushikonda Visakhapatman,Andhra Pradesh,South,http://www.gitam.edu/,0891-2790101   2790202   2790404   2790505   ,registrar@gitam.edu / admin@gitam.edu
42,International  Institute of Information Technology,,032 (A.P.),Telangana,South,http://www.iiit.ac.in,+91-40-6653 1000    ,query@iiit.ac.in
43,Koneru Lakshmaiah Education Foundation,,Vaddeswaram Guntur,Andhra Pradesh,South,http://www.kluniversity.in,0866 - 2577715   08645 - 246948,
44,Rashtriya Sanskrit Vidyapeeth,,517 507.(A.P),Andhra Pradesh,South,http://rsvidyapeetha.ac.in,0877-2287649   0877-2287690   0877-2288644  0877-2286686   0877-2286177   ,
45,Sri Sathya Sai Institute of Higher Learning,,Distt. A.P.Prasanthinilay,Andhra Pradesh,South,http://www.sssihl.edu.in,+91 8555 287239    ,registrar@sssihl.edu.in
46,ICFAI Foundation for Higher Education,,Road Hyderabad,Andhra Pradesh,South,http://www.ifheindia.org,   ,
47,Vignan's Foundation for Science   Technology and Research,,Vadlamudi Guntur,Andhra Pradesh,South,https://vignan.ac.in/,0863-2534645  2534646  02344700   ,
48,North Eastern Regional Institute of Science & Technology,,Nirjuli Itanagar,Arunachal Pradesh,Northeast,http://www.nerist.ac.in,0360-2257401   0360-2257872/ 2258533,"@nerist.ernet.in,@nerist.ac.in"
49,Nava Nalanda Mahavihara,,Nalanda-803 111,Bihar,East,http://www.navanalandamahavihara.o,611-228-1672  ,nnmdirector@sify.com
50,Punjab Engineering College,,,Chandigarh,North,http://www.pec.ac.in,"0172- 2753064 ,  0172-2745175","webmaster@pec.ac.in,"
51,Indian Agricultural Research Institute,,Pusa New,Delhi,North,http://www.iari.res.in,  ,
52,Indain Institute of Foreigen Trade,,Area N.,Delhi,North,http://www.iift.edu,"+91-11-26965124 ,+91-11-26965051  ",
53,Indian Law Institute,,Road New,Delhi,North,http://www.admissionnews.com,91-11-23386321  ,ili@ili.ac.in 
54,Institute of liver and Biliary Sciences,,Kunj New,Delhi,North,http://www.ilbs.in/,46300000  7055  7056  26706700-02  64703890 ,
55,Jamia Hamdard,,Nagar New,Delhi,North,http://www.jamiahamdard.edu,011-26059688  ,
56,National Museum Institute of History of Arts  Conservation and Musicology,,Janpath New,Delhi,North,http://nmi.gov.in,+91 11 23012106  ,nmihacm@gmail.com 
57,National Institute of Food Technology  Entrepreneurship & Management (NIFTEM),,Kundli Sonepat,Haryana,North,http://www.niftem.ac.in,130-2219759-63  ,info@niftem.ac.in
58,National University of Educational Planning & Administration,,New,Delhi,North,http://www.nuepa.org,26565600  26544800  ,
59,Rashtriya Sanskrit Sansthana,,Janakpuri New,Delhi,North,http://www.sanskrit.nic.in,+91-11-28524993  28520976  28520977,rsks@nda.vsnl.net.in
60,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,,Area New,Delhi,North,http://www.slbsrsv.ac.in,(91) 011- 46060606  (91)011- 46060606,email : info@slbsrsv.ac.in
61,TERI School of Advanced studies,,Rd N.,Delhi,North,http://www.teriuniversity.ac.in,91 11 26122222  26139110  26139011  91 11 26122874,
62,Gujarat Vidyapith,,380 014.,Gujarat,West,http://www.gujaratvidyapith.org,079-27541148  079-27540746  079-40016200  ,
63,Sumandeep Vidyapeeth,,Takula Waghodiya,Gujarat,West,http://www.sumandeepvidyapeethdu.edu.in,(02668) 245262 / 64 / 66  ,info@sumandeepvidyapeethdu.edu.in
64,Maharishi Markandeshwar (Deemed to be University),,Mullana Ambala,Haryana,North,http://www.mmumullana.org,"01731-274475,76,77,78,  +91-8059930001  02  03  04  05  06",info@mmumullana.org
65,Lingaya's Vidyapeeth,,Fridabad- 121002,Haryana,North,http://www.limat.org,0866-2085299  2085353  96426 08881  96426 08882,
66,National Brain Research Centre,,-122001 (,Haryana,North,http://www.nbrc.ac.in,0124 - 2338920 to 26  0124 - 2338910,info@brc.ac.in
67,National Dairy Research Institute,,132 001.,Haryana,North,http://www.ndri.res.in,  ,
68,Manav Rachna International Institute of Research and Studies,,N.I.T. Faridabad-121001,Haryana,North,http://manavrachna.edu.in/,91 129 4198100 (30 Lines)  ,info@mriu.edu.in
69,Birla Institute of Technology,,215. (,Jharkhand,East,http://www.bitmesra.ac.in,91 651 2275444/2275896  ,
70,B.L.D.E.,,Bijapur Karantaka,Karnataka,South,http://bldedu.ac.in/,"918352 262770,918352 262507  918352 260267,918352 264951",
71,Christ,,Road Bangalore-560029,Karnataka,South,http://www.christuniversity.in,"+91 80.4012.9100,+91.80.4012.9600  ",mail@christuniversity.in
72,Indian Institute of Science,,560 012.,Karnataka,South,http://www.iisc.ernet.in,"080-22932241,22932231  ",
73,International Institute of Information Technology,,Bangalore (IIIT-B),Karnataka,South,http://www.iiitb.ac.in,91 80 4140 7777 /2852 7627  91 80 28527636,ramachandra@iiitb.ac.in
74,Jain,,V.V.Puram Bangalore,Karnataka,South,http://www.jainuniversity.ac.in,91 80 43431000  91 80 43431010,jainunversity@gamil.com
75,JSS Academy of Higher Education & Research,,Nagara Mysore,Karnataka,South,www.jssuni.edu.in,0821-2548400/2548391/392  ,registrar@jssuni.edu.in
76,Jawahar lal Nehru Centre for Advanced Scientific Research,,Bangalore-560064 (Kanataka),Karnataka,South,http://www.jncasr.ac.in,91-80-22082750  91-80-22082766,admin@jncasr.ac.in
77,K.L.E. Academy of Higher Education and Research,,Nagar Belgaum-590010,Karnataka,South,http://www.kleuniversity.edu.in,0831-2444444  ,info@kleuniversity.edu.in
78,Manipal Academy of Higher Education,,Nagar Manipal-576119.,Karnataka,South,http://www.manipal.edu,0820-2571201  ,
79,National Institute of Mental Health & Neuro Sciences,,560 029.,Karnataka,South,http://www.nimhans.kar.nic.in,"080-26995000/5100,5200,5300,5400  26568120,8121,8122,8123,8124",virusravi@gmail.com
80,NITTE,,Deralakatte Mangalore-575018,Karnataka,South,http://www.nitte.edu.in,91 - 824 - 2204300/01/02/03/04  0824-2204305  91 - 824 - 2204305,info@nitte.edu.in
81,Sri Devraj Urs Academy of Higher Education and Research,,Tamaka Kolar-563101,Karnataka,South,http://www.sduu.ac.in,  ,
82,Sri Siddhartha Academy of Higher Education,,Tumkur-572107,Karnataka,South,http://www.sahetumkur.ac.in,0816 2275516  0816-2278867 /2275514,info@sahe.in
83,Swami Vivekananda Yoga Anusandhana Samsthana,,Agrahara Bangalore-560018,Karnataka,South,http://www.vyasa.org,26608645/26612669  ,info@svyasa.org  svyasa@svyasa.org
84,Yenepoya,,Mangalore,Karnataka,South,http://yenepoya.edu.in,0824-2204668/69/70  91 824 2204667,reachus@yenepoya.org
85,Kerala Kalamandalam,,Thrissur,Kerala,South,http://www.kalamandalam.org,91+ 4884 262418  262526  91- 4884 - 262019,info@kalamandalam.org
86,Indian Institute of Space Science and Technology,,P.O. Thiruvananthapuram,Kerala,South,http://www.iist.ac.in,"0471-2568422,2568452,2568453  0471-2568462",
87,Indian Institute of Information Technology and Management,,Link Road.,Madhya Pradesh,Central,http://www.iiitm.ac.in,0751-2449704  0751-2449813,
88,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology,,College Jabalpur,Madhya Pradesh,Central,http://www.iitk.ac.in,  ,
89,Lakshmibai National Institute of Physical Education,,474002. M.P.,Madhya Pradesh,Central,http://www.lnipe.nic.in,91-751-4000984  ,nishikanttiwari@gmail.com
90,Bharati Vidyapeeth,,Marg Pune,Maharashtra,West,http://bvuniversity.edu.in/,No: 020-24325701  24407100  24331317  ,bvuniversity@yahoo.co.in
91,Central Institute of Fisheries Education,,400 061,Maharashtra,West,http://www.cife.edu.in,022-26363404  26361656  26345944  28614355  022- 26361573 /26348223,root@cife.bom.nic.in  fishinst@bom3.vsnl.net.in
92,D.Y Patil Educational Society,,Kasada Kolhapur-416006,Maharashtra,West,http://www.dypatilunikop.org,(0231) 2601235/36  2601595  (0231) 2601238,"info@dypatilkolhapur.org,info@dypatilunikop.org"
93,Datta Meghe Institute of Medical Sciences,,(Meghe) Wardha,Maharashtra,West,http://www.dmims.edu.in,07152-287701  07152-287706,medical_wda@sancharnet.in  info@dmimsu.com
94,Deccan College Postgraduate & Research Institute,,411 006.,Maharashtra,West,http://www.deccancollegepune.ac.in,020-26692982  26691457  26615232  26683192  020-26692104,dakshina@pn2.vsnl.net.in
95,Dr. D.Y. Patil Vidyapeeth,,Pimpri Pune,Maharashtra,West,http://www.dpu.edu.in,020-27805000  020-27805001,info@dpu.edu.in 
96,Gokhale Institute of Politics & Economics,,411 004.,Maharashtra,West,http://www.gipe.ac.in,91-20-25650287/25679940/25654288/25661367  91-20-25652579,gipe@vsnl.com   gipelib@gipe.ac.in
97,Homi Bhabha National Institute  Regd. Office,,Complex Mumbai-85,Maharashtra,West,http://www.hbni.ac.in,  ,
98,Indira Gandhi Institute of Development Research,,Mumbai-400 065.,Maharashtra,West,http://www.igidr.ac.in,022-28425747  28425337  022-28401336  28401346,postmaster@igidr.ac.in
99,Defence Institute of Advanced Technology,,Girinagar Pune,Maharashtra,West,https://www.diat.ac.in,020-24304005  ,
100,International Institute for Population Sciences,,400 088.,Maharashtra,West,http://www.iipsindia.org,022-42372400  ,
101,Institute of Chemical Technology,,Matunga Mumbai-400019,Maharashtra,West,http://www.ictmumbai.edu.in,91 22 33611001  91 22 33611111,director@ictmumbai.edu.in
102,Krishna Institute of Medical Sciences,,-415539,Maharashtra,West,http:/www. kimsuniversity.in,91-2164-241555-58  91-40-27840980,contact@kimsuniversity.in
103,MGM Institute of Health Sciences,,Kamothe,Maharashtra,West,http://www.mgmuhs.com,"022-27432471,27432994  ",registrar@mgmuhs.com
104,Narsee Monjee Institute of Management Studies,,(W) Mumbai-400056,Maharashtra,West,http://www.nmims.edu,022-42355555  ,"nmims@nmims.edu,enquiry@nmims.edu"
105,Padmashree Dr.D.Y. Patil Vidyapeeeth,,Pin-400 706,Maharashtra,West,http://www.dypatil.ac.in,91 22 39285999  91 22 39286197,info@dypatil.com   dypuniversity_1@yahoo.co.in
106,Pravara Institute of Medical Sciences,,Tal. Rahata,Maharashtra,West,http://www.pravara.com/,91-2422-273600  91-2422-273413,pravara@bom3.vsnl.net.in  contact@pmtpims.org
107,Symbiosis International University,,District: Pune,Maharashtra,West,http://www.siu.edu.in,020-39116200  020-39116206,registrar@siu.edu.in
108,Tata Institute of Fundamental Research,,400 005,Maharashtra,West,http://www.tifr.ac.in,91-22-22782000  ,
109,Tata Institute of Social Sciences,,Mumbai-400 088.,Maharashtra,West,http://www.tiss.edu,  022-25525000,webmaster@tiss.edu
110,Tilak Maharashtra Vidyapeeth,,Gultekdi Pune-411037,Maharashtra,West,http://www.tmv.edu.in,"020-24261856  24264699  24267888,24454866  91-020-24266068  24271695",
111,Kalinga Institute of Industrial Technology,,Orissa -,,,http://www.kiit.ac.in,  91 674 2725113,kiit@kiit.ac.in
112,Siksha 'O' Anusandhan,,Orissa -,,,http://www.soauniversity.ac.in,91-674- 2350635  2350791  2350794  2350802  91 - 674 - 2350826,info@soauniversity.ac.in
113,Sant Longowal Institute of Engineering and Technology,,District- Sangru,Punjab,North,http://www.sliet.ac.in,  ,sliet_webasters@yahoo.com
114,Thapar Institute of Engineering & Technology,,Road Patiala,Punjab,North,http://www.thapar.edu.in,91-175-2393021  91-175-2364498  2393020,registrar@thapar.edu
115,Sri Balaji Vidyapeeth (Deemed to be University),,of Pudducherry,Puducherry,South,http://www.sbvu.ac.in,0413-2615449 to 2615458  ,registrar@sbvu.ac.in
116,Banasthai Vidyapith,,304022. (,Rajasthan,North,http://www.banasthali.org,01438-228647  228323/653  228371  228340  01438-228365,"info@banasthali.ac.in  
ashastri@banasthali.ac.in"
117,Birla Institute of Technology & Science,,Vihar Pilani,Rajasthan,North,http://www.bits-pilani.ac.in,01596-255298  255310  ,samuel@pilani.bits-pilani.ac.in
118,Institute of Advanced Studies in Education,,Shahr Churu,Rajasthan,North,http://www.iaseuniversity.org.in,01564- 220025  223642  01564 - 223682(FAX),oncampus@iaseuniversity.org.in
119,IIS,,Mansarovar Jaipur,Rajasthan,North,http://www.iisuniv.ac.in,91-141-2400160-61  2397906-07  91 - 2395494  2781158,icg@iisuniv.ac.in
120,Jain Vishva Bharati Institute,,Ladnun-341 306.,Rajasthan,North,http://jvbi.ac.in,"018581-222230,222110,224332  1581-223472",jvbiladnun@gmail.com
121,Janardan Rai Nagar Rajasthan Vidyapeeth,,313 001.(,Rajasthan,North,http://www.jrnrvu.org,"91 294 2429441,2493493,2492440  0294-2492400",info@jrnrvpu.org
122,The LNM Institute of Information Technology  jaipur,,Via-Jamdoli District:-Jaipur,Rajasthan,North,http://www.lnmiit.ac.in,0141-5191851/ 2688090  0141-2689014 (FAX),info.lnmiit@lnmiit.ac.in
123,Mody Institute of Education and Research,,Lakshmangarh,Rajasthan,North,http://www.mitsuniversity.ac.in,(01573) 225001(12 Lines)  (01573) 225041 to 44,contact@mitsuniversity.ac.in
124,Academy of Maritime Education and Training,,Chennai- 603112,Tamil Nadu,South,http://www.ametuniv.ac.in,91 - 44 - 27472155 / 27472904 / 27472905 / 2747215  91 - 44 - 27472804,amet@vsnl.com
125,Amrita Vishwa Vidyapeetham,,Coimbatore,Tamil Nadu,South,http://www.amrita.edu,91-422-2685000  91-422-2656274,univhq@amrita.edu
126,Avinashilingam Institute for Home Science & Higher Education for Women,,641 043.,Tamil Nadu,South,http://www.avinashilingam.edu,0422-2443219  2451252  2441252  2211288  0422-2438786,avinuty.ac.in
127,B.S. Abdur Rahman Institute of Science and Technology,,Tamilnadu-600 048,Tamil Nadu,South,http://www.bsauniv.ac.in,91-44-22751347/348/350/362  91-44-22750520,bsar@bsauniv.ac.in
128,Bharath Institute of Higher Education & Research,,Chennai 600073,Tamil Nadu,South,http://www.bharathuniv.com,"91 - 44 - 2229 0742  2229 0125,2440 4699  2445 341  91 - 44 - 2229 3886",admission@bharathuniv.ac.in
129,Chennai Mathematical Institute,,TamilNadu,Tamil Nadu,South,http://www.cmi.ac.in,"91-44-2747 0226  ?  2747 0229,3298 3441  3298 3442  91-44-2747 0225",office at cmi dot ac dot in
130,Chettinad Academy of Research and Education  (CARE),,Kanchipuram Distt.,Tamil Nadu,South,http://www.chettinadhealthcity.com,91 (0)44 4741 1010  91 (0)44 4741 1011,mail@chettinadhealthcity.com
131,The Gandhiigram Rural Institute,,,Tamil Nadu,South,http://www.ruraluniv.ac.in,2452371  2452375  0451-2453071,grucc@ruraluniv.ac.in
132,Hindustan Institute of Technology  and Science (HITS),,Kelambakkam Chennai,Tamil Nadu,South,http://www.hindustanuniv.ac.in,(044) – 27474262  (044) – 27474385,hindustan@hindustanuniv.ac.in
133,Kalasalingam Academy of Research and Education,,Tamal Nadu,Tamil Nadu,South,http://www.kalasalingam.ac.in,04563 - 289042/43/44  04563 - 289322,info@kalasalingam.ac.in
134,Karunya Institute of Technology and Sciences,,Nagar Coimbatore,Tamil Nadu,South,http://www.karunya.edu,0422 - 2614300  91 422 2615615,ku@karunya.edu
135,Karpagam Academy of Higher Education,,Eachanari Post,Tamil Nadu,South,http://www.kahedu.edu.in,"0422-2611146,2611082  0422-2611043",info@karpagamuniversity.ac.in
136,Dr. M.G.R. Educational and Research Institute,,Chennai-600095,Tamil Nadu,South,http://www.drmgrdu.ac.in,91 - 044-23782176 / 23782186 / 23782085  91 - 044- 23783165,contact@drmgrdu.ac.in
137,Meenakshi Academy of Higher Education and Research,,Nagar(West) Chennai-600078,Tamil Nadu,South,http://www.maher.ac.in,(044) 23643955  23643956  (044) 23643958,info@maher.ac.in
138,Noorul Islam Centre for Higher Education,,Thuckalay Kanyakumari,Tamil Nadu,South,http://www.niuniv.com,04651-251956  04651-257266,info@niceindia.com
139,Periyar Manaimmai Institute of Science & Technology (PMIST),,Vallam Thanjavur,Tamil Nadu,South,http://www.pmu.edu,91-4362-264600  91-4362-264660,pmu@pmu.edu
140,Ponnaiyan Ramajayam Institute of Science & technology (PMIST),,Chavadi Thanjavur,Tamil Nadu,South,http://www.prist.ac.in,(04362) 265021  265022  266940  266950  266960  04362-265150,contact@prist.ac.in
141,Rajiv Gandhi National Institute of Youth Development,,Sriperrumbudur,Tamil Nadu,South,http://www.rgniyd.gov.in,(091)044 - 27162741  27162612  (091)044 - 27162705,app@rgniyd.gov.in/acadrgniyd@gamil.com
142,S.R.M Institute of Science and Technology,,Mambalam Chennai,Tamil Nadu,South,http://www.srmuniv.ac.in,044-27417777/27417000  ,
143,Sathyabama Institute of Science and Technology,,Salai Chennai,Tamil Nadu,South,http://www.sathyabamauniversity.ac.in,044 - 2450 3150 / 51   044 - 2450 3154/55,sathyabama@sathyabama.ac.in
144,Saveetha Institute of Medical and Technical Sciences,,Velappanchavadi Chennai,Tamil Nadu,South,http://www.saveetha.com,91 - 44 - 2680 1580 / 1581 / 1582 / 1583 / 1584 /  91 - 44 - 2680 0892,contact@saveetha.com
145,Shanmugha Arts Science Technology & Research Academy (SASTRA),,Samudram Thanjavur,Tamil Nadu,South,http://www.sastra.edu,91 4362 264101-108  304000-010.  91 4362 264120,registrar@sastra.edu
146,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya,,Enathur Kancheepuram,Tamil Nadu,South,http://www.kanchiuniv.ac.in,(91) 44-27264293  27264308  27264301  (91) 44-27264285,
147,Sri Ramachandra Medical College and Research Institute,,Nagar Chennai.,Tamil Nadu,South,http://http://www.sriramachandra.edu.in,044-24765512  ,
148,St. Peter’s Institute of Higher Education and Research,,Avadi Chennai,Tamil Nadu,South,http://www.spiher.ac.in,044 - 26558080 - 85  ,spiher@stpetersuniversity.org
149,VELS Institute of Science Technology & Advanced Studies (VISTAS),,Pallavaram Chennai,Tamil Nadu,South,http://www.velsuniv.ac.in,91 - 44 - 2266 2500 / 2501 / 2502 / 2503  91 - 44 - 2266 2513,vistas@velsuniv.org
150,Vellore Institute of Technology,,Vellore,Tamil Nadu,South,http://www.vit.ac.in,"91-416-2243091 / 93  91-416-2243092,2240411",
151,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,,Chennai,Tamil Nadu,South,http://www.veltechuniv.edu.in   www.vel-tech.org,"044-26841622,26840896,  2,435,759,124,348,250","eveltech@vsnl.com,"
152,Vinayaka Mission’s Research Foundation,,Ariyanoor Salem,Tamil Nadu,South,http://www.vinayakamission.com,"0427 - 247 7316 / 317 / 594 / 598
  0427 - 247 7903
",vmtrust@vmu.edu.in/vmtrust@gmail.com
153,Sam Higginbottom Institute of Agriculture  Technology & Sciences,,Naini Allahabad,Uttar Pradesh,North,http://www.shiats.edu.in,91 532 2684281  91 532 2684394,
154,Bhatkhande Music Institute,,Bagh Lucknow,Uttar Pradesh,North,http://www.bhatkhandemusic.edu.in,  ,info@bhatkhandemusic.edu.in
155,Central Institute of Higher Tibetan Studies,,Sarnath Varanasi,Uttar Pradesh,North,http://www.cihts.ac.in,091-542-2585242/2585148/2581737  0542-2585150,cihts@yahoo.com
156,Dayalbagh Educational Institute,,Dayalbagh Agra,Uttar Pradesh,North,http://www.dei.ac.in,0562-2801545  6544855  0562-2801226(Fax),admin@dei.ac.in
157,Indian Veterinary Research Institute,,Izatnagar U.P.,Uttar Pradesh,North,http://www.ivri.nic.in,0581- 2300096  2301375  0581- 2303284  2302179,root@ivri.up.nic.in
158,Jaypee Institute of Information Technology,,Sector-62 Noida,Uttar Pradesh,North,http://www.jiit.ac.in,0120-2400973  ,webadmin@jiit.ac.in
159,Nehru Gram Bharati,,Dubawal Prayagraj,Uttar Pradesh,North,http://www.ngbu.edu.in,7705988333  7705966333,info.ngbu@gmail.com
160,Shobhit Institute of Engineering & Technology,,Road Meerut,Uttar Pradesh,North,http://www.shobhituniversity.ac.in,91-121- 2575091 / 92  3264004  91-121- 2575724,mail@shobhituniversity.ac.in
161,Santosh,,Nagar Ghaziabad,Uttar Pradesh,North,https://santosh.ac.in/,"91-120-2741141-43,2741777  91-120-2741140",santosh@santoshdeemedtobeuniversity.com
162,Forest Research Institute,,Forest Dehradun,Uttarakhand,North,http://www.icfre.org,91- 135- 2758295  2759646  91- 135- 2750297,garbyalms@icfre.org   ddg_admin@icfre.org   cm_rb@
163,Gurukul Kangri vidyapeeth,,Haridwar Uttrakhand.,Uttarakhand,North,http://www.gkvharidwar.org,01334-249011  249012  249013  243090  01334-245265/246366/246811,registrargkv@yahoo.comg
164,Graphic Era,,Dehradun Uttrakhand.,Uttarakhand,North,http://www.ugc.ac.in,91-135-2643420  2642727  91-135-2644025,enquiry@geu.ac.in
165,Ramakrishna Mission Vivekananda Educational  and Research Institute,,Distt Howrah,West Bengal,East,http://www.rkmvu.ac.in,  ,
166,Assam Don Bosco University,,Azara Guwahati,Assam,Northeast,http://www.dbuniversity.ac.in,91-03842-270802  91-03842-270849  91 361 2841949,"contact@dbuniversity.ac.in,hr@dbuniversity.ac.in"
167,Dr. C.V. Raman University,,Kota Bilaspur,Chhattisgarh,Central,http://www.cvru.ac.in,"91-7753-253728  202582 253737,  91-7753-253728",cvruraipur@yahoo.co.in
168,MATS University,,: Raipur,Chhattisgarh,Central,http://www.matsuniversity.ac.in,91 771 4078995  4078996  91 771 4078997,info@matsuniversity.ac.in
169,Charotar University of Science & Technology,,District Anand,Gujarat,West,http://www.charusat.ac.in,02697-247 500  02697-247 100,info@ecchanga.ac.in
170,Calorx Teacher's University,,Chandlodia Ahmedabad,Gujarat,West,http://www.ctu.org.in,02717-242328/29  ,registrar@ctu.org.in
171,Dhirubhai Ambani Institute of Information and Communication Technology,,Circle Gandhinagar,Gujarat,West,http://www.daiict.ac.in,079-30520000  3052-0010  ,info@daiict.ac.in
172,Ganpat University,,Vidyanagar Mehsana,Goa,West,http://www.ganpatuniversity.ac.in,2762-286080  286924-25  180023312345,info@ganpatuniversity.ac.in
